trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-178.9543016042122,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-176.41762654012499,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-190.14754586901938,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,9,-57.92915291657212,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-128.8702087528838,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-101.99465647400879,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-258.08920011708904,"{0: 13, 1: 8, 2: 2, 3: 3, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-120.19631734961962,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-52.57699350212063,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-73.50927805989082,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-67.146988350371,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-72.75718847174215,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,11,-47.39841278776552,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,3,-91.33591554505193,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-66.69414503477626,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,14.534840356132257,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-95.95308188489575,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-51.96862225071256,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,11.124878092420033,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,16,6.5805847152867125,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.97742305077914,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,10,-49.73166188571431,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-44.59855869721642,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-63.860246898202426,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,19,-20.26013747652999,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,11,-24.864715279583727,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-80.20821694109249,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,6,-45.09302546831241,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-137.4827263128893,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,4,-130.41271301119798,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 2}",1
