trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,0,-75.27796501269141,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9998000066665778}",30,0,-163.532104382344,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-70.7040451510372,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-110.03705926192875,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-200.23120922748706,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9982005399352042}",30,0,-113.4664986751789,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9975510002532796}",35,0,-131.89839713752272,"{0: 22, 1: 5, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,0,-87.92338465293399,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-135.84578882094232,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9950041652780258}",30,0,-141.72858007693702,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9939560979566968}",25,0,-103.44477281826424,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,0,-94.5922431075865,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9915618937147881}",35,0,-123.21182061580545,"{0: 20, 1: 7, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-24.775710949975153,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,13,-48.3844123912251,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-32.333417117677236,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9855847669095608}",30,0,-160.19979083542052,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9838436927881214}",30,0,-126.52518478946429,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9820042351172703}",30,0,-76.13505208800642,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-66.14562017517889,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-40.07369536781084,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9758974493306055}",20,0,-171.37256393723885,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9736663950053749}",25,7,-121.58497334892053,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.9713379748520296}",25,0,-84.06172170002353,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-129.74291753648544,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9663899781345132}",25,0,-104.60289977092751,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,0,-39.38871811829231,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-67.9622955994318,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9582438755126972}",20,0,-104.91124001661436,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-116.62833680344916,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9523335698857134}",20,0,-113.26699409651903,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,0,-69.90757761215694,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.946042343528387}",20,0,-54.98449137252185,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,0,-67.22820835036732,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,0,-142.99566274579956,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9358968236779348}",30,0,-149.39000876915375,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
