trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999500004166653}",25,13,-77.45667995026423,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9998000066665778}",30,16,-11.199940102589387,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-118.33843564188147,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-66.60538001710783,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-161.26327010585604,"{0: 15, 1: 8, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9982005399352042}",30,0,-158.40056914470549,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,0,-85.65750754366161,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-161.61695881253587,"{0: 5, 1: 4, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-83.59442476625217,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9950041652780258}",25,0,-124.77634283154472,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-19.629047307802097,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,6,-104.4692220913614,"{0: 7, 1: 1, 2: 3, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9915618937147881}",25,0,-113.86770723551375,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9902159962126371}",30,0,-170.0045842951237,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-123.79459674038753,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-71.14093068523515,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9855847669095608}",20,11,-65.06516026406264,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9838436927881214}",30,0,-165.40252067841465,"{0: 20, 1: 1, 2: 3, 3: 4, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9820042351172703}",20,0,-114.19897081211357,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9800665778412416}",30,0,-296.3201715633511,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 5}",0
21,False,"{'a': 0.5, 'e': 0.9780309147241483}",25,0,-90.07378407923257,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9758974493306055}",25,0,-86.69772856205792,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,0,-39.0985064435601,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9713379748520296}",25,0,-137.57978372444515,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-154.01616520070246,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9663899781345132}",25,0,-135.38243549050281,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,0,-74.22164223317453,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-96.78132687841749,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9582438755126972}",25,14,-39.42108281697565,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
