trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.43262615601032,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.3606186766153,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.1146561846903,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.14172183357022,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.89762768586985,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,3,-62.242866878436914,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.74499145500421,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.63875914309506,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.31586190766397,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.45158584170844,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.780764268054956,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.751894073347934,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.508959406132796,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.00785444859196,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.22499547467386,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.68263895026593,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.01803718471778,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.25116110848535,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.0184336248987,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.70001160783472,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.9763677764344,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.5673475305692,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.2726533203503,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.08692068026131,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-203.90813743526496,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-8.563445826512606,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.3601772537899,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,9,-90.58430396598153,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.34609904211513,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.31069373551816,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
